Spectrum,Observed,Rel.,Acc.
C I,1357.134,20700000000000.0,C
C I,1357.658,10700000000000.0,C
C I,1358.189,10200000000000.0,
C I,1359.276,30100000000000.0,C
C I,1359.44,604000000000.0,C
C I,1359.547,103000000000.0,
C I,1364.164,50200000000000.0,C
O V,1371.292,604000.0,A+
O II,1373.437,70.0,D
O II,1373.595,80.0,C
O II,1376.826,40.0,D
Na II,1359.055,2000.0,
Na II,1361.217,1050.0,
Na III,1361.896,1020.0,B
Na III,1361.896,1020.0,D
Na V,1364.87,2020.0,B
Na VI,1365.248,1000.0,
Na V,1365.51,2020.0,C+
Na II,1366.242,1050.0,
Na III,1372.34,1010.0,C+
Na II,1373.451,1050.0,
Na II,1374.688,9000.0,
Na II,1375.618,1050.0,
Na II,1380.623,1020.0,
Mg IV,1361.493,80.0,C+
Mg IV,1362.504,70.0,C
Mg II,1365.545,1040.0,B+
Mg IV,1366.733,10.0,C
Mg II,1367.26,1050.0,B+
Mg II,1367.704,1050.0,C+
Mg II,1369.425,1080.0,B
Mg IV,1371.033,1040.0,B
Mg III,1371.769,20.0,
Mg IV,1373.187,1030.0,B
Mg IV,1375.497,1020.0,B
Mg III,1376.713,30.0,
Mg IV,1377.373,70.0,B
Mg III,1378.7,70.0,C+
Mg III,1378.891,10.0,
Si III,1361.6,80.0,B
Si III,1362.37,50.0,C+
Si III,1363.47,70.0,B
Si III,1365.26,80.0,B
Si III,1367.05,70.0,B
Si III,1369.44,50.0,C+
Si III,1373.03,50.0,B
S I,1356.97,0.0,
S IV,1359.162,10.0,E
S IV,1361.081,30.0,D
S I,1361.304,3000.0,
S IV,1362.531,80.0,D+
S II,1363.011,30.0,D
S I,1363.033,6000.0,
S II,1363.384,60.0,D
S II,1363.902,20.0,E'
S IV,1365.192,40.0,D
S V,1365.749,60.0,B
S IV,1366.921,70.0,D
S IV,1368.843,80.0,D
S IV,1368.843,80.0,D+
S IV,1370.585,60.0,D
S V,1371.614,10.0,C+
S V,1371.883,10.0,B
S III,1373.156,60.0,B
S V,1379.069,10.0,C+
S V,1379.432,20.0,B
Cl I,1363.447,1020000000.0,C+
Cl I,1373.116,20500000.0,D
Cl I,1379.528,2000000000.0,D
Ca III,1360.01,10500000.0,C
Ca III,1362.222,309000.0,C
Ca III,1378.584,500000.0,
Fe II,1356.951,20100000.0,
Fe III,1356.975,10400000.0,
Fe III,1356.975,10400000.0,
Fe V,1357.114,604000.0,C
Fe II,1357.146,20100000.0,
Fe II,1357.281,60000000.0,
Fe II,1357.35,50000000.0,
Fe V,1357.675,808000.0,C
Fe V,1357.857,206000.0,D+
Fe III,1358.002,10900000.0,D
Fe V,1358.386,202000.0,C
Fe V,1358.567,603000.0,C
Fe II,1358.931,70000000.0,D+
Fe V,1359.006,10400000.0,B
Fe II,1359.05,70000000.0,D+
Fe II,1359.32,40000000.0,
Fe V,1359.406,906000.0,C
Fe II,1360.233,700000.0,
Fe II,1360.44,80000000.0,E
Fe II,1360.596,30500000.0,
Fe II,1360.683,20800000.0,
Fe II,1360.849,80000000.0,D+
Fe III,1361.026,705000.0,
Fe II,1361.06,40000000.0,
Fe II,1361.119,30300000.0,
Fe V,1361.279,10900000.0,C
Fe V,1361.279,10900000.0,C
Fe II,1361.359,80000000.0,D+
Fe V,1361.447,10300000.0,C+
Fe II,1361.501,10600000.0,
Fe V,1361.692,609000.0,C+
Fe V,1361.825,20600000.0,B
Fe II,1362.087,30300000.0,
Fe II,1362.087,30300000.0,
Fe II,1362.258,70000000.0,D+
Fe III,1362.366,10000000.0,
Fe II,1362.457,60000000.0,
Fe II,1362.537,60000000.0,
Fe II,1362.757,80000000.0,D+
Fe V,1362.864,10300000.0,C
Fe III,1362.997,506000.0,
Fe V,1363.077,10900000.0,C
Fe II,1363.185,600000.0,
Fe V,1363.376,503000.0,C
Fe III,1363.441,10000000.0,
Fe II,1363.538,40000000.0,
Fe II,1363.62,40000000.0,
Fe V,1363.642,10900000.0,C
Fe II,1363.821,10400000.0,
Fe II,1363.821,10400000.0,
Fe III,1363.861,506000.0,
Fe II,1363.989,10700000.0,
Fe III,1363.99,40500000.0,
Fe II,1364.013,800000.0,
Fe III,1364.074,10800000.0,
Fe III,1364.074,10800000.0,
Fe II,1364.377,80000000.0,D+
Fe II,1364.572,80000000.0,D+
Fe II,1364.755,80000000.0,E
Fe V,1364.824,10300000.0,C
Fe III,1364.892,10000000.0,
Fe V,1364.984,10300000.0,D
Fe V,1364.984,10300000.0,C
Fe V,1365.115,10600000.0,C
Fe II,1365.221,10100000.0,
Fe II,1365.502,800000.0,
Fe V,1365.571,10900000.0,C
Fe II,1365.669,70000000.0,E
