Spectrum,Observed,Rel.,Acc.
Si III,1207.52,90.0,B+
Si III,1210.46,1000.0,B
S I,1207.015,30.0,
S I,1208.85,50.0,
Ca III,1207.341,200000.0,C
Ca III,1207.838,204000.0,C
Ca III,1208.046,200000.0,C
Ca III,1208.716,100000.0,
Fe III,1206.74,40600000.0,
Fe III,1206.876,40600000.0,
Fe II,1207.012,50000000.0,
Fe V,1207.115,8000.0,
Fe II,1207.299,10000000.0,
Fe II,1207.355,10400000.0,D
Fe II,1207.355,10400000.0,
Fe II,1207.889,60000000.0,E
Fe III,1208.047,10800000.0,
Fe III,1208.047,10800000.0,
Fe II,1208.161,10900000.0,
Fe II,1208.23,20800000.0,D
Fe V,1208.257,302000.0,C
Fe VII,1208.372,205000.0,B
Fe III,1208.482,705000.0,
Fe II,1208.847,20800000.0,D
Fe II,1208.995,60000000.0,E
Fe II,1209.43,40000000.0,
Fe II,1209.508,400000.0,
Fe II,1209.508,400000.0,D
Fe II,1209.93,30300000.0,D
Fe II,1210.098,60000000.0,
Fe III,1210.189,1010000000.0,
Fe III,1210.564,10400000.0,
Fe II,1210.705,10900000.0,
Fe II,1210.705,10900000.0,
