Spectrum,Observed,Rel.,Acc.
O II,1683.762,70.0,
O II,1684.033,80.0,
O II,1691.477,80.0,D
O II,1691.477,80.0,D
O II,1696.614,40.0,D
Na III,1688.942,1010.0,
Na III,1699.293,1000.0,
Na III,1701.97,80.0,B
Na IV,1701.97,1050.0,B+
Na IV,1702.409,1000.0,B+
Na IV,1702.735,60.0,B
Na IV,1702.995,70.0,B
Na IV,1703.53,90.0,B
Mg I,1683.412,0.0,D+
Mg III,1687.091,1030.0,B
Mg IV,1692.675,1070.0,B+
Mg III,1697.282,1030.0,B+
Mg IV,1698.784,2000.0,B+
Mg IV,1699.654,1050.0,B
Mg IV,1701.262,1020.0,B+
Mg IV,1702.367,1000.0,B
Mg III,1703.108,30.0,C+
Mg IV,1703.357,1060.0,B+
Mg III,1703.731,50.0,B+
Mg III,1704.368,20.0,C+
Si I,1686.82,3000.0,
Si I,1689.29,5000.0,
Si I,1690.79,3000.0,
Si I,1693.29,5000.0,D+
Si I,1695.51,5000.0,D+
Si I,1696.2,200000.0,C
Si I,1697.94,200000.0,C
Si I,1700.42,5000.0,D+
Si I,1700.63,3000.0,D+
Si I,1702.86,3000.0,D
Si I,1704.43,5000.0,D+
S IV,1686.821,40.0,D+
S I,1687.5305,1050000000.0,D
S IV,1687.945,70.0,B
S IV,1688.245,30.0,C+
S IV,1688.629,80.0,B
S IV,1690.479,80.0,D+
S V,1695.12,0.0,
S V,1696.202,0.0,
S IV,1697.007,50.0,D
S IV,1697.584,20.0,D
S V,1700.321,0.0,
S IV,1701.576,20.0,D+
S I,1706.36,4000.0,D+
Ca III,1684.392,103000.0,
Ca III,1688.77,10700000.0,C
Ca II,1691.78,80.0,C
Ca II,1698.18,1060.0,C
Ca III,1698.939,10700000.0,C
Fe II,1683.3078,10800000.0,D+
Fe II,1683.454,500000.0,
Fe II,1683.7103,50000000.0,
Fe III,1683.817,506000.0,
Fe II,1684.008,70000000.0,D
Fe II,1684.454,500000.0,D+
Fe II,1684.454,500000.0,
Fe II,1684.673,400000.0,
Fe II,1685.6816,10500000.0,D+
Fe II,1685.9546,3000000000.0,D+
Fe II,1686.4565,2030000000.0,D+
Fe II,1686.6925,1090000000.0,D
Fe II,1686.785,60000000.0,
Fe II,1686.785,60000000.0,
Fe III,1687.507,506000.0,
Fe IV,1687.69,1050.0,
Fe III,1687.903,1050000000.0,
Fe II,1688.0742,900000.0,
Fe II,1688.1585,10500000.0,D+
Fe II,1688.289,60000000.0,D
Fe II,1688.4027,90000000.0,C
Fe III,1688.962,506000.0,
Fe II,1689.8317,3000000000.0,D+
Fe III,1689.961,507000.0,
Fe III,1690.306,1050000000.0,
Fe II,1690.444,600000.0,
Fe III,1690.458,706000.0,
Fe III,1690.595,507000.0,
Fe II,1690.7583,3030000000.0,D+
Fe II,1690.987,900000.0,
Fe II,1690.987,900000.0,
Fe III,1691.087,507000.0,
Fe II,1691.2737,2050000000.0,D+
Fe II,1691.466,400000.0,
Fe II,1691.563,900000.0,
Fe III,1691.711,707000.0,D+
Fe III,1691.901,10000000.0,D
Fe II,1692.1753,20100000.0,D+
Fe II,1692.497,70000000.0,
Fe II,1692.545,10500000.0,
Fe III,1692.609,707000.0,
Fe III,1693.248,507000.0,
Fe II,1693.4778,1050000000.0,D+
Fe II,1693.6014,10700000.0,D
Fe III,1693.701,507000.0,
Fe II,1693.759,60000000.0,D+
Fe II,1693.9372,1010000000.0,D
Fe III,1693.941,60300000.0,
Fe III,1694.48,20600000.0,
Fe II,1694.481,60000000.0,
Fe II,1694.679,60000000.0,
Fe III,1695.037,1070000000.0,D
Fe II,1695.046,10500000.0,
Fe III,1695.221,507000.0,
Fe III,1695.521,10900000.0,
Fe II,1695.982,500000.0,
Fe II,1696.4584,1010000000.0,D
Fe II,1696.7951,2070000000.0,D+
Fe II,1697.1382,20000000.0,D+
Fe III,1697.555,508000.0,
Fe III,1697.615,508000.0,
Fe II,1698.133,60000000.0,
Fe II,1698.438,60000000.0,D
Fe IV,1698.88,1050.0,
Fe III,1698.961,708000.0,
Fe II,1699.196,1080000000.0,D+
Fe V,1699.636,6000.0,C
Fe II,1699.915,900000.0,D
Fe IV,1700.4,1020.0,
Fe II,1700.9022,20400000.0,D+
Fe II,1700.969,400000.0,
Fe III,1701.513,10900000.0,
Fe III,1701.611,709000.0,
Fe II,1701.717,50000000.0,
Fe II,1701.717,50000000.0,
Fe II,1701.78,301000.0,
Fe II,1701.9409,1070000000.0,D+
Fe II,1702.01,40000000.0,
Fe II,1702.04519,106000000000.0,D+
Fe III,1702.165,80700000.0,
Fe III,1702.165,80700000.0,
Fe II,1702.736,60000000.0,D+
Fe II,1702.806,60000000.0,
Fe II,1702.806,60000000.0,D+
Fe II,1703.042,500000.0,D+
Fe II,1703.078,400000.0,D
Fe II,1703.1965,10700000.0,D
Fe II,1703.733,40000000.0,D
Fe I,1704.32,40.0,
Fe II,1704.553,301000.0,
Fe II,1704.642,20400000.0,
Fe II,1704.642,20400000.0,D
Fe I,1704.845,10.0,
Fe II,1704.853,500000.0,D
Fe V,1704.923,6080.0,C
Fe IV,1704.93,1020.0,
Fe II,1705.443,305000.0,D
Fe III,1705.896,20000000.0,
Fe II,1706.042,302000.0,
Fe II,1706.142,20400000.0,
Fe II,1706.234,50000000.0,
Fe III,1706.248,40800000.0,D
Fe II,1706.676,20400000.0,
Fe III,1706.962,20700000.0,
