Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1206.0117,1208.7774,0.0,1209,?,0.0
1222.7766,1221.3974,0.0,1221,?,0.0
1299.8953,1301.2774,0.0,1301,?,0.0
1336.7782,1336.7782,0.0,1337,?,0.0
1353.5431,1353.5431,0.0,1354,?,0.0
1377.014,1377.014,0.0,1377,?,0.0
1469.2213,1471.9874,0.0,1472,?,0.0
1504.4275,1504.4275,0.0,1504,?,0.0
1546.3398,1546.3398,0.0,1546,?,0.0
1636.8705,1641.0174,0.0,1641,?,0.0
1655.312,1655.312,0.0,1655,?,0.0
1695.5477,1695.5477,0.0,1696,?,0.0
1814.5789,1814.5789,0.0,1815,?,0.0
0.0,1901.3174,0.0,1901,?,False
