Spectrum,Observed,Rel.,Acc.
C I,1656.26674,1.09e+21,A
C I,1656.92821,1.05e+21,A
C I,1657.00751,4.08e+21,A
C I,1657.37863,1.01e+21,A
C I,1657.90661,1.06e+21,A
C I,1658.12045,2.01e+21,A
O II,1650.664,1000.0,C+
O II,1651.176,1020.0,C+
O II,1652.045,1050.0,C+
O II,1653.54,1000.0,C+
O II,1655.505,1000.0,C+
O II,1664.06,60.0,
O II,1667.565,1000.0,
O II,1667.565,1000.0,
O II,1668.794,80.0,
O II,1669.138,60.0,
Na V,1650.654,2000.0,C+
Na V,1650.654,2000.0,C+
Na II,1651.601,50.0,
Na II,1652.921,2000.0,
Na IV,1655.468,1010.0,B+
Na II,1657.918,6000.0,
Na II,1668.569,3050.0,
Na IV,1668.588,80.0,B
Na II,1669.817,2000.0,
Mg III,1648.822,20.0,C+
Mg I,1651.164,0.0,
Mg IV,1651.837,20.0,C+
Mg III,1652.218,40.0,B
Mg I,1658.312,0.0,
Mg IV,1658.851,1050.0,B+
Mg III,1659.244,40.0,B
Mg III,1663.287,20.0,C
Mg I,1668.429,0.0,
Mg IV,1669.574,1010.0,B+
Si I,1653.35,3000.0,
Si I,1664.52,3000.0,
Si I,1666.37,5000.0,D
Si I,1667.62,100000.0,E
Si I,1668.52,100000.0,D
S II,1652.483,10.0,
S IV,1653.168,40.0,
S IV,1656.093,30.0,
S II,1657.828,10.0,
S II,1658.183,10.0,
S II,1659.777,50.0,
S II,1661.361,10.0,
S II,1664.488,40.0,
S II,1664.488,40.0,
S II,1664.488,40.0,
S I,1666.6875,1070500000.0,C+
S II,1667.089,30.0,
S IV,1668.617,10.0,D
Ca II,1649.86,6000.0,
Ca II,1651.99,3020.0,
Fe III,1646.914,609000.0,
Fe IV,1647.09,1050.0,
Fe II,1647.1626,4000000000.0,D+
Fe III,1647.44,903000.0,
Fe II,1647.538,60000000.0,D+
Fe II,1647.562,10900000.0,D+
Fe II,1647.757,70000000.0,D+
Fe II,1647.878,500000.0,D+
Fe III,1648.302,903000.0,
Fe II,1648.309,500000.0,
Fe II,1648.309,500000.0,
Fe II,1648.395,20700000.0,
Fe II,1648.395,20700000.0,D
Fe II,1648.713,301000.0,
Fe V,1648.743,1080.0,D+
Fe III,1649.0,609000.0,
Fe II,1649.064,500000.0,D
Fe II,1649.11288,20500000.0,
Fe II,1649.32414,1000000000.0,D+
Fe II,1649.4261,5000000000.0,D+
Fe II,1649.5768,5000000000.0,D+
Fe II,1650.0473,700000.0,
Fe II,1650.2398,400000.0,
Fe II,1650.463,207000.0,
Fe II,1650.463,207000.0,
Fe III,1650.508,501000.0,
Fe II,1650.527,500000.0,D
Fe II,1650.7035,4000000000.0,D+
Fe II,1651.5038,10600000.0,D+
Fe IV,1651.58,1050.0,
Fe II,1651.613,60000000.0,D
Fe II,1651.613,60000000.0,D+
Fe III,1651.874,10700000.0,
Fe II,1651.92,10000000.0,
Fe V,1651.927,2060.0,D+
Fe V,1652.531,2060.0,C
Fe IV,1652.9,1050.0,
Fe II,1652.909,201000.0,
Fe V,1653.257,102000.0,C
Fe II,1653.403,70000000.0,D+
Fe IV,1653.41,1030.0,
Fe II,1653.709,40000000.0,
Fe II,1653.709,40000000.0,
Fe II,1653.796,400000.0,D+
Fe III,1653.819,40200000.0,
Fe II,1654.061,60000000.0,D+
Fe II,1654.1133,1000000000.0,D
Fe II,1654.261,20700000.0,D
Fe II,1654.4785,4000000000.0,D+
Fe III,1654.479,1090000000.0,
Fe II,1654.668,70000000.0,
Fe V,1654.744,205000.0,C
Fe II,1654.9079,10700000.0,D+
Fe II,1655.025,70000000.0,D
Fe III,1655.197,904000.0,
Fe II,1655.251,20100000.0,
Fe III,1655.342,904000.0,
Fe II,1655.502,70000000.0,D+
