Spectrum,Observed,Rel.,Acc.
C I,1189.248,907000000000.0,B
C I,1189.445,10400000000000.0,B
C I,1189.63,10600000000000.0,B
C I,1190.02,208000000000.0,C+
C I,1190.244,800000000000.0,C+
C I,1191.834,806000000000.0,C+
C I,1192.218,608000000000.0,C
C I,1192.449,10100000000000.0,C
C I,1192.833,708000000000.0,B
C I,1193.02,40100000000000.0,B+
C I,1193.02,40100000000000.0,B+
C I,1193.23,1070000000000000.0,B+
C I,1193.249,1060000000000000.0,B+
C I,1193.38,20000000000000.0,B+
C I,1193.649,0.0,B+
C I,1193.668,20100000000000.0,A
C I,1194.028,703000000000.0,A
C I,1194.065,30000000000000.0,B+
C I,1194.22,10100000000000.0,A
C I,1194.3,10100000000000.0,B+
C I,1194.404,10700000000000.0,A
C I,1194.486,60700000000000.0,B+
C I,1194.616,10600000000000.0,A
C I,1194.675,700000000000.0,B+
C I,1197.87,206000000000.0,C
C I,1198.243,107000000000.0,C
N I,1199.55,401000.0,A
Na II,1198.237,2050.0,
Na II,1198.767,4000.0,
Si II,1190.42,100000.0,C+
Si II,1193.28,200000.0,B
Si II,1194.5,205000.0,B
Si II,1197.39,100000.0,C+
S III,1190.206,100000.0,B
S IV,1193.566,10.0,
S III,1194.061,105000.0,B
S III,1194.457,100000.0,C+
S V,1199.134,80.0,B+
Ca III,1190.864,209000.0,C
Ca III,1193.697,109000.0,C
Fe III,1189.282,800000.0,
Fe II,1189.369,10500000.0,
Fe II,1189.722,20100000.0,
Fe II,1189.722,20100000.0,E
Fe II,1189.832,10800000.0,
Fe II,1190.27,700000.0,
Fe II,1190.396,900000.0,
Fe II,1190.422,20600000.0,
Fe II,1190.532,900000.0,
Fe II,1190.56,20000000.0,E
Fe III,1190.682,30600000.0,
Fe II,1190.799,10000000.0,
Fe III,1190.852,10400000.0,
Fe II,1190.883,60000000.0,
Fe III,1190.9,10100000.0,
Fe III,1190.9,10100000.0,
Fe II,1191.021,30600000.0,E
Fe II,1191.356,20100000.0,
Fe II,1191.472,50000000.0,
Fe II,1191.472,50000000.0,
Fe II,1191.974,30500000.0,
Fe II,1191.974,30500000.0,
Fe II,1192.026,70000000.0,D+
Fe II,1192.149,10600000.0,
Fe II,1192.188,700000.0,
Fe III,1192.56,40800000.0,
Fe III,1192.56,40800000.0,
Fe II,1192.737,30600000.0,E
Fe II,1192.976,50000000.0,
Fe II,1193.297,800000.0,
Fe II,1193.345,20200000.0,
Fe II,1193.575,30000000.0,
Fe III,1193.579,3090000000.0,
Fe II,1194.445,30000000.0,E
Fe II,1194.556,20000000.0,
Fe II,1194.556,20000000.0,
Fe II,1194.656,60000000.0,D
Fe II,1195.054,20100000.0,
Fe V,1195.103,503000.0,C
Fe II,1195.464,60000000.0,
Fe II,1195.464,60000000.0,D
Fe II,1195.78,10800000.0,D
Fe II,1195.78,10800000.0,
Fe II,1196.263,50000000.0,D
Fe II,1196.671,40000000.0,D+
Fe II,1197.434,60000000.0,D
Fe II,1197.499,40000000.0,D+
Fe II,1197.645,20000000.0,
Fe II,1197.645,20000000.0,
Fe II,1197.791,500000.0,
Fe II,1198.051,30000000.0,E
Fe II,1198.194,40000000.0,D
Fe II,1198.368,40000000.0,D+
Fe II,1198.398,30500000.0,D
Fe II,1198.487,700000.0,
Fe II,1198.487,700000.0,
Fe V,1198.593,402000.0,D
Fe II,1198.66,40000000.0,
Fe II,1198.924,60000000.0,C+
Fe II,1199.231,50000000.0,D+
Fe II,1199.539,60000000.0,
Fe II,1199.681,20400000.0,D+
Fe II,1199.821,40000000.0,
Fe II,1199.821,40000000.0,
