Spectrum,Observed,Rel.,Acc.
C II,1323.908,3080000000.0,A
C II,1323.908,3080000000.0,A
C II,1323.948,7060000000.0,A
C II,1323.948,7060000000.0,A
C I,1328.8332,2020000000000000.0,B
C I,1329.0861,1040000000000000.0,B
C I,1329.0999,1060000000000000.0,B
C I,1329.1233,1000000000000000.0,B
C I,1329.5777,3000000000000000.0,B
C I,1329.6001,1000000000000000.0,B
C II,1334.5323,106000000000.0,A
C II,1335.6628,3010000000.0,A
C II,1335.7079,205000000000.0,A
N I,1326.57,101050.0,B
N I,1327.92,101050.0,B
O II,1323.731,80.0,
O IV,1338.612,200000.0,B
O IV,1342.992,103000.0,B
O IV,1343.512,203000.0,B
Na III,1325.7,30.0,B
Na II,1327.742,5000.0,
Na II,1328.497,1020.0,
Na II,1329.354,3000.0,
Na II,1336.112,2050.0,
Na III,1336.76,70.0,D
Na III,1337.358,70.0,B
Na III,1337.995,20.0,C+
Na II,1338.575,3050.0,
Na III,1340.674,80.0,D
Na II,1341.369,3050.0,
Na III,1342.39,90.0,E
Na II,1342.401,2000.0,
Na III,1342.729,1000.0,C+
Mg III,1327.512,20.0,
Mg III,1329.583,80.0,
Mg IV,1331.592,70.0,C
Mg III,1332.31,20.0,
Mg III,1334.359,60.0,
Mg III,1335.951,10.0,
Mg IV,1336.85,1000.0,C+
Mg IV,1342.163,1050.0,B
Mg IV,1345.643,80.0,C
Mg III,1346.46,0.0,
Mg IV,1346.543,2050.0,B+
Mg IV,1346.633,1050.0,B
Si III,1341.47,80.0,B
Si III,1342.39,70.0,B
Si III,1343.39,60.0,B
Si II,1346.87,100000.0,
S I,1323.5153,30500000.0,C
S I,1323.522,400000.0,C
S IV,1324.117,30.0,D
S I,1326.6432,30000000.0,C
S III,1328.164,1000.0,B
S III,1328.524,80.0,B
S III,1328.63,40.0,B
S I,1333.792,20.0,
S IV,1334.961,40.0,D
S IV,1335.109,30.0,D
S IV,1338.621,30.0,D
S I,1340.852,10.0,
S III,1343.222,70.0,B
S III,1343.592,40.0,C+
Cl I,1335.726,30000000.0,C
Ca III,1328.945,10400000.0,C
Ca III,1335.129,10800000.0,C
Ca III,1337.466,305000.0,
Ca II,1341.89,2040.0,
Ca II,1342.54,1020.0,
Fe II,1323.084,30000000.0,D
Fe V,1323.097,5050.0,C
Fe II,1323.26,20700000.0,
Fe II,1323.26,20700000.0,D+
Fe V,1323.269,20100000.0,C+
Fe II,1323.352,10200000.0,D
Fe II,1323.597,20000000.0,
Fe II,1323.597,20000000.0,
Fe II,1323.734,20700000.0,
Fe II,1323.903,10200000.0,
Fe II,1323.903,10200000.0,
Fe II,1324.184,305000.0,
Fe II,1324.184,305000.0,
Fe II,1324.25,20900000.0,D+
Fe II,1324.32,400000.0,
Fe V,1324.403,401000.0,C
Fe III,1324.715,20600000.0,
Fe II,1324.901,500000.0,
Fe III,1324.942,708000.0,
Fe II,1325.065,600000.0,
Fe II,1325.323,800000.0,D
Fe II,1325.447,301000.0,
Fe V,1325.781,604000.0,C
Fe III,1325.846,10400000.0,
Fe III,1325.92,708000.0,
Fe II,1325.995,800000.0,D
Fe III,1326.616,30500000.0,
Fe III,1326.644,508000.0,
Fe III,1326.644,508000.0,
Fe II,1327.085,10600000.0,
Fe V,1327.101,602000.0,C
