Spectrum,Observed,Rel.,Acc.
N III,1846.42,105000.0,C+
O II,1833.649,60.0,
O II,1835.906,90.0,D
O III,1848.26,101000.0,
Na II,1831.172,1020.0,
Na II,1831.402,10.0,
Na III,1832.39,70.0,
Na II,1833.873,4050.0,
Na II,1835.217,8000.0,
Na III,1835.223,1000.0,B+
Na II,1836.367,20.0,
Na II,1837.522,1050.0,
Na II,1837.89,4050.0,
Na III,1838.122,80.0,B+
Na III,1838.944,1000.0,B+
Na II,1839.27,2000.0,
Na II,1839.835,2050.0,
Na II,1840.032,2000.0,
Na II,1841.822,6000.0,
Na III,1844.362,1010.0,B+
Na II,1845.016,7000.0,
Na III,1845.149,90.0,B+
Na III,1847.527,1000.0,
Na III,1847.589,1000.0,
Na III,1849.564,1050.0,A
Na II,1850.15,4050.0,
Na III,1850.379,1020.0,B+
Na II,1851.194,7000.0,
Na II,1853.166,8000.0,
Mg III,1838.336,40.0,B
Mg III,1839.878,30.0,C+
Mg IV,1844.151,1060.0,B+
Mg III,1846.121,30.0,
Mg III,1846.707,30.0,
Mg III,1847.561,10.0,C
Mg III,1849.591,10.0,
Mg III,1850.06,30.0,
Mg IV,1853.086,1070.0,B
Mg III,1854.139,20.0,
Si I,1836.51,200000.0,D+
Si I,1838.01,3000.0,
Si I,1841.15,100000.0,D
Si I,1841.44,200000.0,D+
Si III,1842.55,90.0,B
Si I,1843.77,200000.0,D+
Si I,1845.51,300000.0,C+
Si I,1846.1,100000.0,E
Si I,1847.47,400000.0,C+
Si I,1848.14,200000.0,C+
Si I,1848.74,100000.0,D+
Si I,1850.67,500000.0,C+
Si I,1851.79,3000.0,
Si I,1852.46,200000.0,C+
Si I,1853.15,5000.0,C
S II,1831.378,10.0,
S II,1831.378,10.0,
S II,1834.691,80.0,
S IV,1847.258,10.0,
Ca III,1835.072,308000.0,
Ca II,1838.01,4000.0,C
Ca II,1840.06,6000.0,C
Ca II,1840.06,6000.0,C
Ca II,1843.09,2000.0,C
Ca III,1845.775,10100000.0,B
Ca II,1850.69,4000.0,C
Ca III,1851.09,300000.0,
Fe II,1831.2652,1020000000.0,D+
Fe III,1831.44,40000000.0,D
Fe II,1831.6594,20600000.0,E
Fe II,1831.7545,50000000.0,D
Fe II,1831.9809,90000000.0,D
Fe II,1832.2534,20900000.0,E
Fe II,1832.422,107000.0,
Fe II,1832.5,30200000.0,
Fe III,1832.66,809000.0,
Fe II,1833.075,30200000.0,D
Fe III,1833.236,1030000000.0,
Fe III,1834.105,1080000000.0,D
Fe II,1834.753,500000.0,E
Fe III,1834.871,1030000000.0,
Fe II,1834.96472,2070000000.0,E
Fe III,1834.992,6000000000.0,D
Fe II,1835.4163,90000000.0,D+
Fe II,1835.874,3000000000.0,D+
Fe II,1836.064,500000.0,
Fe III,1836.404,30000000.0,D
Fe III,1836.899,900000.0,
Fe II,1837.114,900000.0,
Fe III,1837.419,1080000000.0,
Fe III,1837.601,4050000000.0,C
Fe III,1837.771,70400000.0,
Fe III,1837.875,40000000.0,D
Fe III,1837.875,40000000.0,
Fe II,1838.056,206000.0,
Fe III,1838.312,105000000000.0,C
Fe III,1838.622,2040000000.0,C+
Fe III,1838.622,2050000000.0,D
Fe III,1838.722,1030000000.0,D
Fe III,1838.824,10200000.0,D
Fe III,1839.374,10600000.0,
Fe II,1839.4616,20000000.0,
Fe III,1839.554,50500000.0,D+
Fe II,1839.56092,30200000.0,
Fe II,1839.6465,20300000.0,
Fe II,1839.7531,60000000.0,E
Fe II,1839.80702,60000000.0,E
Fe II,1840.00031,70000000.0,E
Fe III,1840.191,20200000.0,D
Fe IV,1840.24,1020.0,
Fe II,1840.3041,10600000.0,E
Fe III,1840.514,10700000.0,
Fe III,1840.887,10700000.0,
Fe III,1841.393,3030000000.0,D+
Fe III,1841.547,6010000000.0,C
Fe II,1841.548,90000000.0,D
Fe I,1841.582,0.0,
Fe II,1841.6035,90000000.0,D+
Fe II,1841.6898,40000000.0,D
Fe II,1841.70876,90000000.0,E
Fe II,1841.8292,30000000.0,
Fe II,1841.85012,40000000.0,
Fe II,1841.9729,20800000.0,
Fe I,1841.9939,2040.0,
Fe II,1842.0342,20300000.0,E
Fe II,1842.0722,10800000.0,
Fe II,1842.238,30300000.0,D
Fe II,1842.408,204000.0,
Fe II,1842.8483,50000000.0,E
Fe III,1842.938,6010000000.0,C
Fe II,1843.1064,30000000.0,E
Fe III,1843.109,1080000000.0,D+
Fe II,1843.2041,60000000.0,D+
