Spectrum,Observed,Rel.,Acc.
C I,1287.609,10700000000000.0,B
C I,1287.809,2050000000.0,
C I,1288.038,70700000000000.0,
C I,1288.04,70700000000000.0,C
C I,1288.422,20200000000000.0,B
C I,1288.711,503000000000.0,
C I,1288.918,409000000000.0,E
C I,1289.893,209000000000.0,
C I,1289.975,10800000000000.0,E
C I,1291.304,409000000000.0,
O II,1289.127,1020.0,
O II,1289.387,60.0,
S II,1288.387,10.0,
S VI,1290.0,0.0,
S VI,1290.0,0.0,
S VI,1290.0,0.0,
Ca III,1286.523,20000000.0,C
Ca III,1288.029,109000.0,
Fe III,1286.647,60800000.0,
Fe II,1286.91,30400000.0,D
Fe V,1287.101,705000.0,C
Fe II,1287.418,800000.0,
Fe II,1287.418,800000.0,D
Fe II,1287.732,20700000.0,
Fe III,1287.757,20800000.0,
Fe III,1287.757,20800000.0,
Fe V,1288.169,705000.0,C
Fe II,1288.253,1000000000.0,
Fe II,1288.401,20000000.0,
Fe V,1288.72,1020.0,
Fe II,1288.902,30500000.0,
Fe II,1289.095,50000000.0,D
Fe II,1289.311,60000000.0,D+
Fe V,1289.533,9040.0,D+
Fe II,1289.546,20700000.0,
Fe II,1290.147,40000000.0,
Fe II,1290.147,40000000.0,
Fe II,1290.187,70000000.0,D+
Fe II,1290.353,40000000.0,
Fe II,1290.774,60000000.0,
Fe II,1290.774,60000000.0,E
Fe II,1291.168,20000000.0,
Fe V,1291.191,704000.0,C
Fe III,1291.269,60800000.0,
Fe II,1291.274,10100000.0,
Fe II,1291.579,70000000.0,D
Fe III,1291.586,601000.0,
Fe II,1291.824,20100000.0,
Fe II,1291.862,10100000.0,D
Fe III,1292.147,10100000.0,
Fe III,1292.187,20000000.0,
Fe II,1292.405,20200000.0,
Fe II,1292.673,20700000.0,
Fe II,1292.673,20700000.0,
Fe II,1293.039,60000000.0,E
Fe V,1293.125,9030.0,D+
Fe III,1293.208,601000.0,
Fe II,1293.224,10400000.0,
Fe V,1293.305,507000.0,C
Fe V,1293.377,507000.0,C
Fe III,1293.544,50000000.0,
Fe II,1293.583,50000000.0,
