Spectrum,Observed,Rel.,Acc.
H I,1215.6701,804000000000.0,AAA
C I,1197.87,206000000000.0,C
C I,1198.243,107000000000.0,C
N I,1199.55,401000.0,A
N I,1200.223,308050.0,A
N I,1200.71,306000.0,A
O II,1200.72,1020.0,
O II,1201.485,80.0,
O II,1201.822,1020.0,
O II,1202.025,1020.0,
O II,1203.004,40.0,
Na II,1198.237,2050.0,
Na II,1198.767,4000.0,
Na II,1199.941,3050.0,
Na II,1200.079,3000.0,
Na II,1213.998,3000.0,
Na II,1217.472,4050.0,
Mg IV,1210.967,80.0,B
Mg IV,1218.992,80.0,B
Si II,1197.39,100000.0,C+
Si III,1206.51,3000.0,A
Si III,1206.53,3000.0,B
Si III,1207.52,90.0,B+
Si III,1210.46,1000.0,B
Si II,1216.12,1000.0,
S V,1199.134,80.0,B+
S III,1200.97,205000.0,B
S III,1201.73,100000.0,C+
S III,1202.12,3000.0,C
S II,1203.861,40.0,D
S II,1204.29,1020.0,D+
S II,1204.335,1020.0,D+
S II,1204.735,40.0,D
S I,1205.565,10.0,
S I,1207.015,30.0,
S I,1208.85,50.0,
S I,1211.212,1000.0,
S I,1211.38,0.0,
S I,1212.795,10.0,
S I,1213.99,0.0,
S I,1214.295,10.0,
S I,1214.318,2000.0,
S I,1214.641,30.0,
S I,1214.98,0.0,
S I,1215.45,0.0,
S I,1216.425,50.0,
S I,1217.025,50.0,
S I,1217.27,0.0,
S IV,1218.085,10.0,
S I,1218.51,0.0,
S I,1218.571,20.0,
S I,1218.595,3050.0,
S I,1218.95,0.0,
S I,1219.649,10.0,
Cl I,1201.353,900000.0,C
Ca III,1200.772,9000.0,C
Ca III,1202.309,500000.0,C
Ca III,1203.507,2090.0,C
Ca III,1207.341,200000.0,C
Ca III,1207.838,204000.0,C
Ca III,1208.046,200000.0,C
Ca III,1208.716,100000.0,
Ca III,1211.822,800000.0,B
Ca III,1212.682,204000.0,C
Ca III,1213.301,306000.0,B
Ca III,1217.45,100000.0,
Ca III,1218.738,100000.0,
Fe II,1196.263,50000000.0,D
Fe II,1196.671,40000000.0,D+
Fe II,1197.434,60000000.0,D
Fe II,1197.499,40000000.0,D+
Fe II,1197.645,20000000.0,
Fe II,1197.645,20000000.0,
Fe II,1197.791,500000.0,
Fe II,1198.051,30000000.0,E
Fe II,1198.194,40000000.0,D
Fe II,1198.368,40000000.0,D+
Fe II,1198.398,30500000.0,D
Fe II,1198.487,700000.0,
Fe II,1198.487,700000.0,
Fe V,1198.593,402000.0,D
Fe II,1198.66,40000000.0,
Fe II,1198.924,60000000.0,C+
Fe II,1199.231,50000000.0,D+
Fe II,1199.539,60000000.0,
Fe II,1199.681,20400000.0,D+
Fe II,1199.821,40000000.0,
Fe II,1199.821,40000000.0,
Fe II,1199.921,500000.0,
Fe V,1200.183,205000.0,C
Fe II,1200.477,500000.0,D
Fe II,1200.889,30500000.0,D
Fe II,1201.415,40000000.0,D+
Fe III,1201.451,706000000000.0,
Fe II,1201.506,10000000.0,D
Fe II,1201.548,10500000.0,D
Fe II,1201.651,40000000.0,D
Fe II,1201.689,304000.0,
Fe II,1201.742,400000.0,
Fe II,1201.96,10900000.0,
Fe II,1202.452,10000000.0,
Fe II,1202.58,60000000.0,
Fe II,1203.837,900000.0,
Fe II,1204.029,50000000.0,D
Fe II,1204.029,50000000.0,D
Fe II,1204.462,10900000.0,
Fe II,1204.755,304000.0,D
Fe III,1204.918,706000.0,
Fe II,1205.118,50000000.0,E
Fe II,1205.166,500000.0,
Fe II,1205.533,40000000.0,D
Fe II,1205.571,30300000.0,
Fe III,1205.776,1010000000.0,
Fe II,1205.994,50000000.0,E
Fe II,1206.133,10900000.0,
Fe II,1206.606,800000.0,
Fe II,1206.641,30400000.0,
Fe II,1206.641,30400000.0,
Fe III,1206.74,40600000.0,
Fe III,1206.876,40600000.0,
Fe II,1207.012,50000000.0,
Fe V,1207.115,8000.0,
Fe II,1207.299,10000000.0,
Fe II,1207.355,10400000.0,D
Fe II,1207.355,10400000.0,
Fe II,1207.889,60000000.0,E
Fe III,1208.047,10800000.0,
Fe III,1208.047,10800000.0,
Fe II,1208.161,10900000.0,
Fe II,1208.23,20800000.0,D
Fe V,1208.257,302000.0,C
Fe VII,1208.372,205000.0,B
Fe III,1208.482,705000.0,
Fe II,1208.847,20800000.0,D
Fe II,1208.995,60000000.0,E
Fe II,1209.43,40000000.0,
Fe II,1209.508,400000.0,
Fe II,1209.508,400000.0,D
Fe II,1209.93,30300000.0,D
Fe II,1210.098,60000000.0,
Fe III,1210.189,1010000000.0,
Fe III,1210.564,10400000.0,
Fe II,1210.705,10900000.0,
Fe II,1210.705,10900000.0,
Fe II,1210.745,10000000.0,
Fe II,1210.811,10000000.0,D
Fe II,1211.04,800000.0,
Fe II,1211.272,60000000.0,E
Fe II,1211.396,400000.0,
Fe II,1211.566,40000000.0,
Fe II,1211.566,40000000.0,
Fe II,1211.902,10200000.0,
Fe II,1211.986,50000000.0,D
Fe III,1211.995,20500000.0,
Fe II,1212.02,800000.0,
Fe II,1212.38,10500000.0,
Fe III,1212.878,60000000.0,
Fe II,1212.961,60000000.0,D
Fe II,1213.09,60000000.0,
Fe II,1213.09,60000000.0,E
Fe II,1213.132,50000000.0,D
Fe II,1213.412,40000000.0,D
Fe II,1213.749,60000000.0,D
Fe II,1213.749,60000000.0,D
Fe II,1214.068,40000000.0,
Fe II,1214.15,50000000.0,D
Fe II,1214.284,500000.0,
Fe II,1214.398,20800000.0,D
Fe II,1214.426,800000.0,
Fe III,1214.56,80100000.0,
Fe II,1214.569,50000000.0,
Fe V,1214.711,105000.0,D+
Fe III,1215.244,703000.0,
Fe II,1216.518,50000000.0,
Fe II,1216.844,900000.0,D
Fe II,1216.996,800000.0,
Fe II,1217.141,303000.0,
Fe II,1217.141,303000.0,
Fe II,1217.304,50000000.0,
Fe II,1217.485,10000000.0,
Fe II,1217.554,20000000.0,
Fe II,1217.639,50000000.0,
Fe II,1217.848,50000000.0,
Fe V,1217.993,307000.0,C
Fe II,1218.062,20300000.0,
Fe II,1218.092,800000.0,
Fe II,1218.092,800000.0,
Fe II,1218.119,400000.0,
Fe II,1218.212,50000000.0,D
Fe II,1218.46,10800000.0,D
Fe II,1218.808,20200000.0,D
Fe II,1218.91,30100000.0,
Fe II,1219.798,50000000.0,D+
