Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1405.436,1405.436,0.0,1405,?,0.0
1479.1978,1479.1978,0.0,1479,?,0.0
1495.9617,1495.9617,0.0,1496,?,0.0
1507.6965,1507.6965,0.0,1508,?,0.0
1524.4606,1524.4606,0.0,1524,?,0.0
1554.6357,1554.6357,0.0,1555,?,0.0
1574.7524,1574.7524,0.0,1575,?,0.0
1633.4265,1633.4265,0.0,1633,?,0.0
1670.3073,1670.3073,0.0,1670,?,0.0
1680.3657,1680.3657,0.0,1680,?,0.0
1775.9207,1775.9207,0.0,1776,?,0.0
1883.2102,1883.2102,0.0,1883,?,0.0
1913.3854,1913.3854,0.0,1913,?,0.0
1931.8258,1931.8258,0.0,1932,?,0.0
0.0,1381.2432,0.0,1381,?,False
0.0,1429.6532,0.0,1430,?,False
0.0,1461.4632,0.0,1461,?,False
0.0,1970.4631999999997,0.0,1970,?,False
0.0,1602.5431999999998,0.0,1603,?,False
0.0,1620.5231999999999,0.0,1621,?,False
0.0,1710.4332,0.0,1710,?,False
0.0,1722.8831999999998,0.0,1723,?,False
0.0,1735.3332,0.0,1735,?,False
0.0,1751.9232,0.0,1752,?,False
0.0,1818.3231999999998,0.0,1818,?,False
0.0,1843.2131999999997,0.0,1843,?,False
0.0,1801.7232,0.0,1802,?,False
