Spectrum,Observed,Rel.,Acc.
C I,1541.52,307000000000.0,
C I,1542.176,10800000000000.0,C+
C I,1543.959,400000000000.0,
Na II,1523.388,3000.0,
Na III,1523.548,70.0,E
Na III,1523.548,70.0,D
Na III,1525.301,90.0,D+
Na III,1525.301,90.0,E
Na II,1525.311,3000.0,
Na II,1526.021,1050.0,
Na III,1526.883,60.0,
Na II,1527.555,1050.0,
Na II,1527.985,2000.0,
Na II,1528.532,2000.0,
Na II,1529.208,1050.0,
Na II,1531.497,2000.0,
Na II,1533.176,1000.0,
Na II,1534.163,1000.0,
Na IV,1534.475,1020.0,B
Na II,1534.538,2050.0,
Na II,1534.737,1020.0,
Na III,1539.145,70.0,E
Na II,1539.895,1020.0,
Na II,1540.688,70.0,
Na IV,1542.46,0.0,B
Na IV,1542.46,0.0,B
Na IV,1542.46,0.0,C+
Na III,1542.46,90.0,D
Na II,1543.665,1020.0,
Mg IV,1520.967,1040.0,B
Si II,1526.72,500000.0,C+
Si II,1533.45,10000000.0,C+
S IV,1521.15,10.0,
S IV,1534.089,20.0,D
S IV,1534.935,10.0,D
S II,1535.188,10.0,
S II,1536.939,10.0,
S II,1540.749,10.0,
S II,1540.891,20.0,
S II,1541.504,10.0,
Cl II,1528.569,500000.0,
Cl IV,1537.21,300000.0,
Cl IV,1539.3,200000.0,D
Cl II,1542.942,500000.0,
Ca III,1528.866,10900000.0,C
Fe II,1520.825,20400000.0,D+
Fe II,1520.8752,80000000.0,D+
Fe II,1521.353,10000000.0,
Fe II,1521.4724,40000000.0,D+
Fe II,1521.5858,20800000.0,D+
Fe III,1521.891,2000000000.0,D+
Fe II,1522.219,600000.0,
Fe II,1522.684,60000000.0,D+
Fe II,1523.255,800000.0,D
Fe II,1523.279,10800000.0,D+
Fe II,1523.375,60000000.0,
Fe II,1523.375,60000000.0,
Fe II,1523.744,50000000.0,
Fe II,1523.9912,30500000.0,D+
Fe III,1524.522,104000000000.0,C+
Fe III,1524.658,104000000000.0,C+
Fe III,1524.658,104000000000.0,
Fe III,1524.799,2050000000.0,
Fe II,1524.96,10500000.0,D
Fe III,1525.041,201000000000.0,D+
Fe III,1525.041,201000000000.0,C+
Fe III,1525.041,201000000000.0,C
Fe II,1525.076,20000000.0,
Fe II,1525.076,20000000.0,
Fe V,1525.165,209000.0,D+
Fe III,1525.343,2030000000.0,C
Fe III,1525.634,4000000000.0,
Fe II,1525.7439,20700000.0,D+
Fe III,1525.801,201000000000.0,B
Fe III,1526.016,3080000000.0,C
Fe III,1526.016,3080000000.0,D
Fe II,1526.2051,50000000.0,D+
Fe II,1526.368,60000000.0,D+
Fe II,1526.532,2040000000.0,D+
Fe IV,1526.6,1030.0,
Fe II,1526.9131,90000000.0,D+
Fe III,1527.145,201000000000.0,B
Fe II,1527.2397,1070000000.0,D+
Fe III,1527.26,6000000000.0,C+
Fe III,1527.26,6000000000.0,C
Fe II,1527.331,400000.0,
Fe III,1527.381,30400000.0,
Fe II,1527.6466,30500000.0,D+
Fe III,1527.67,10400000.0,
Fe III,1527.767,2040000000.0,D+
Fe II,1527.792,800000.0,D
Fe III,1528.102,402000.0,
Fe V,1528.49,303000.0,C
Fe II,1528.5,10000000.0,
Fe II,1528.741,700000.0,D
Fe III,1528.88,2000000000.0,D
Fe II,1528.987,10000000.0,D
Fe II,1528.987,10000000.0,
Fe III,1528.987,506000.0,
Fe II,1529.447,700000.0,
Fe II,1529.507,10300000.0,
Fe III,1529.764,6070000000.0,B
Fe II,1529.8701,10900000.0,
Fe III,1530.22,4000000000.0,D
Fe III,1530.22,4000000000.0,
Fe IV,1530.26,1030.0,
Fe II,1530.264,10800000.0,
Fe II,1530.264,10800000.0,
Fe III,1530.431,1050000000.0,D+
Fe III,1530.432,60200000.0,D
Fe II,1530.4382,40000000.0,D+
Fe V,1530.439,602000.0,C
Fe II,1530.674,700000.0,
Fe II,1531.13,106000.0,
Fe III,1531.293,103000000000.0,C
Fe III,1531.479,80400000.0,
Fe II,1531.6162,30400000.0,D+
Fe III,1531.644,207000000000.0,C+
Fe III,1531.644,207000000000.0,D+
Fe III,1531.864,109000000000.0,D+
Fe III,1531.864,109000000000.0,C+
Fe III,1531.87,2010000000.0,
Fe III,1531.87,2010000000.0,
Fe II,1532.1,206000.0,
Fe II,1532.295,200000.0,D
Fe V,1532.33,305000.0,C
Fe III,1532.349,706000.0,
Fe III,1532.349,706000.0,
Fe II,1532.5275,20900000.0,
Fe V,1532.625,10000000.0,C
Fe IV,1532.63,1040.0,
Fe II,1532.813,70000000.0,D+
Fe II,1532.89,800000.0,
Fe IV,1532.91,1030.0,
Fe III,1533.004,20500000.0,
Fe III,1533.159,30400000.0,
Fe V,1533.413,600000.0,C
Fe III,1533.439,100000000000.0,B
Fe IV,1533.86,1050.0,
Fe II,1533.907,10600000.0,
Fe IV,1533.95,1030.0,
Fe II,1534.278,700000.0,
Fe III,1534.376,20500000.0,
Fe III,1534.44,706000.0,
Fe II,1534.845,10400000.0,
Fe II,1534.925,500000.0,
Fe V,1535.034,90.0,
Fe III,1535.043,402000.0,D
Fe III,1535.421,101000000000.0,B
Fe III,1535.905,60300000.0,
Fe III,1536.073,707000.0,
Fe III,1536.336,10000000.0,
Fe III,1536.421,5030000000.0,C+
Fe IV,1536.58,1040.0,
Fe III,1536.591,3030000000.0,C
Fe III,1536.64,4010000000.0,C+
Fe III,1536.83,2070000000.0,C+
Fe III,1537.008,402000.0,
Fe III,1537.268,402000.0,D
Fe III,1537.452,80500000.0,
Fe III,1537.497,10400000.0,D
Fe II,1538.01,700000.0,
Fe II,1538.036,30200000.0,
Fe II,1538.263,500000.0,
Fe IV,1538.29,1020.0,
Fe III,1538.505,402000.0,D
