Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1214.3136,1214.3136,0.0,1214,?,0.0
1304.8381,1304.8381,0.0,1305,?,0.0
1335.0131,1335.0131,0.0,1335,?,0.0
1398.7156,1398.7156,0.0,1399,?,0.0
1487.5638,1487.5638,0.0,1488,?,0.0
1549.59,1549.59,0.0,1550,?,0.0
1660.2312,1660.2312,0.0,1660,?,0.0
1816.1348,1816.1348,0.0,1816,?,0.0
1891.572,1891.572,0.0,1892,?,0.0
1946.8926,1946.8926,0.0,1947,?,0.0
1968.6857,1968.6857,0.0,1969,?,0.0
0.0,1241.0210000000002,0.0,1241,?,False
0.0,1642.641,0.0,1643,?,False
