Spectrum,Observed,Rel.,Acc.
C I,1276.221,703000000000.0,
C I,1276.286,804000000000.0,E
C I,1276.485,30500000000000.0,C+
C I,1276.754,60900000000000.0,C+
C I,1277.048,102000000000.0,
C I,1277.25,1050000000000000.0,A
C I,1277.285,2040000000000000.0,A
C I,1277.517,1080000000000000.0,A
C I,1277.556,1.04e+17,A
C I,1277.728,1040000000000000.0,A
C I,1277.951,50600000000000.0,B+
C I,1279.057,60300000000000.0,D
C I,1279.228,90800000000000.0,D
C I,1279.498,50500000000000.0,D
C I,1279.89,1010000000000000.0,B+
C I,1280.134,2070000000000000.0,B+
C I,1280.33,6080000000000000.0,B+
C I,1280.41,1020000000000000.0,B+
C I,1280.595,90300000000000.0,B+
C I,1280.845,90800000000000.0,B+
C I,1287.609,10700000000000.0,B
C I,1287.809,2050000000.0,
C I,1288.038,70700000000000.0,
C I,1288.04,70700000000000.0,C
C I,1288.422,20200000000000.0,B
O II,1286.409,1000.0,
Na II,1282.348,1050.0,
Na II,1285.384,3000.0,
Mg III,1280.702,10.0,
Si III,1280.35,60.0,B
S II,1276.132,30.0,
S I,1277.1985,300000.0,D+
S I,1277.2122,10200000.0,D+
S II,1277.45,10.0,
S V,1278.814,50.0,D
S II,1279.028,40.0,
S II,1279.489,20.0,
S I,1280.0991,500000.0,D+
S II,1283.35,10.0,
S V,1283.689,20.0,D
S V,1283.911,40.0,D
S V,1284.21,60.0,D+
S II,1284.962,10.0,
S IV,1286.05,70.0,B
S IV,1286.221,30.0,B
S II,1288.387,10.0,
Ca III,1278.392,10500000.0,C
Ca III,1281.553,10100000.0,C
Ca III,1285.908,700000.0,D+
Ca III,1286.523,20000000.0,C
Ca III,1288.029,109000.0,
Fe II,1276.602,40000000.0,
Fe V,1276.647,108000.0,C
Fe II,1276.795,70000000.0,D+
Fe III,1276.802,20100000.0,
Fe II,1276.947,700000.0,
Fe II,1277.275,70000000.0,
Fe II,1277.658,70000000.0,D+
Fe II,1277.686,90000000.0,D+
Fe VII,1277.788,105000.0,C+
Fe II,1278.402,10100000.0,
Fe III,1278.871,60900000.0,
Fe II,1279.097,70000000.0,D+
Fe II,1279.569,10200000.0,
Fe V,1279.591,300000.0,C
Fe II,1280.226,10000000.0,
Fe II,1280.329,50000000.0,
Fe V,1280.471,509000.0,C
Fe II,1280.527,70000000.0,D+
Fe II,1280.575,20400000.0,
Fe V,1280.65,208000.0,D+
Fe II,1280.711,800000.0,
Fe II,1281.302,30300000.0,
Fe V,1281.367,208000.0,C
Fe V,1281.652,102000.0,D+
Fe V,1282.058,401000.0,C
Fe II,1283.06,60000000.0,D+
Fe II,1283.52,60000000.0,
Fe V,1283.613,9060.0,D+
Fe II,1283.938,800000.0,
Fe V,1284.109,408000.0,C
Fe II,1284.126,30500000.0,
Fe III,1284.233,50100000.0,
Fe II,1284.898,20700000.0,
Fe II,1285.684,10000000.0,
Fe II,1285.762,20100000.0,
Fe V,1285.918,309000.0,C
Fe II,1286.156,10900000.0,
Fe II,1286.425,20900000.0,
Fe III,1286.647,60800000.0,
Fe II,1286.91,30400000.0,D
Fe V,1287.101,705000.0,C
Fe II,1287.418,800000.0,
Fe II,1287.418,800000.0,D
Fe II,1287.732,20700000.0,
Fe III,1287.757,20800000.0,
Fe III,1287.757,20800000.0,
Fe V,1288.169,705000.0,C
Fe II,1288.253,1000000000.0,
Fe II,1288.401,20000000.0,
