Spectrum,Observed,Rel.,Acc.
C I,1600.818,5030000000.0,C
C I,1602.9709,30200000000000.0,B
C I,1606.962,704000000000.0,C
C I,1608.447,902000000000.0,C
O III,1590.01,208050.0,C+
O III,1591.33,106000.0,C+
O II,1593.354,2000.0,C+
O II,1593.977,1000.0,C+
O II,1594.189,1080.0,C+
Na II,1587.807,50.0,
Na II,1588.764,1050.0,
Na IV,1588.87,30.0,C+
Na II,1588.983,70.0,
Na II,1591.321,1050.0,
Na II,1591.712,70.0,
Na II,1594.752,20.0,
Na IV,1596.304,30.0,B+
Na IV,1596.367,60.0,B+
Na IV,1596.401,90.0,B+
Na III,1598.177,1000.0,D
Na II,1604.888,2050.0,
Na II,1607.514,4050.0,
Mg III,1592.36,80.0,B+
Mg IV,1597.738,40.0,B
Mg IV,1607.108,1060.0,B+
Mg IV,1607.514,1000.0,C+
Mg IV,1610.799,70.0,C
Mg IV,1611.215,1050.0,B+
Si I,1592.41,5000.0,
Si I,1594.55,105000.0,
Si I,1594.93,5000.0,
Si I,1597.95,3000.0,
S I,1592.736,40.0,
S II,1600.766,10.0,
Ca III,1595.193,10900000.0,C
Fe II,1587.989,400000.0,
Fe V,1588.199,302000.0,D+
Fe III,1588.206,802000.0,
Fe II,1588.2904,4000000000.0,D+
Fe II,1588.602,500000.0,
Fe III,1588.614,405000.0,
Fe II,1588.687,70000000.0,E
Fe III,1588.693,10100000.0,
Fe III,1588.747,20700000.0,D
Fe V,1588.906,301000.0,C
Fe V,1589.013,300000.0,C
Fe V,1589.39,202000.0,C
Fe II,1589.434,10700000.0,
Fe V,1589.941,3020.0,D+
Fe II,1589.973,305000.0,
Fe II,1590.073,700000.0,
Fe II,1590.116,50000000.0,D
Fe II,1590.116,50000000.0,
Fe II,1590.145,50000000.0,D+
Fe II,1590.307,209000.0,
Fe II,1590.393,600000.0,D+
Fe II,1590.5588,20100000.0,D+
Fe III,1590.587,50000000.0,
Fe IV,1590.62,1020.0,
Fe II,1591.1221,20800000.0,D+
Fe IV,1591.51,1030.0,
