Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1405.3116,1405.3116,0.0,1405,?,0.0
1479.0668,1479.0668,0.0,1479,?,0.0
1507.563,1507.563,0.0,1508,?,0.0
1524.3256,1524.3256,0.0,1524,?,0.0
1556.1743,1556.1743,0.0,1556,?,0.0
1574.613,1574.613,0.0,1575,?,0.0
1599.757,1599.757,0.0,1600,?,0.0
1633.282,1634.6614,0.0,1635,?,0.0
1683.5696,1683.5696,0.0,1684,?,0.0
1775.7634,1775.7634,0.0,1776,?,0.0
1883.0435,1883.0435,0.0,1883,?,0.0
1913.216,1913.216,0.0,1913,?,0.0
1931.6549,1931.6549,0.0,1932,?,0.0
0.0,1381.1214,0.0,1381,?,False
0.0,1429.5214,0.0,1430,?,False
0.0,1462.7214000000001,0.0,1463,?,False
0.0,1541.5514,0.0,1542,?,False
0.0,1623.1514,0.0,1623,?,False
0.0,1971.6714000000002,0.0,1972,?,False
0.0,1820.9214000000002,0.0,1821,?,False
0.0,1841.6714000000002,0.0,1842,?,False
0.0,1801.5614,0.0,1802,?,False
0.0,1706.1314,0.0,1706,?,False
0.0,1724.1114,0.0,1724,?,False
0.0,1736.5614,0.0,1737,?,False
0.0,1753.1514,0.0,1753,?,False
