Spectrum,Observed,Rel.,Acc.
N I,1163.884,103000.0,B
N I,1164.206,6000.0,B
N I,1164.325,100050.0,B
Mg I,1163.8,0.0,
S I,1161.97,0.0,
S III,1162.132,30.0,C+
S III,1162.494,60.0,C+
S III,1163.209,50.0,C+
S I,1163.98,6000.0,
Fe II,1161.996,10400000.0,
Fe II,1162.34,60000000.0,D
Fe II,1162.34,60000000.0,
Fe III,1162.592,20200000.0,
Fe II,1162.641,70000000.0,E
Fe II,1162.881,60000000.0,
Fe II,1162.881,60000000.0,D
Fe II,1163.164,60000000.0,D
Fe II,1163.305,70000000.0,
Fe II,1163.305,70000000.0,
Fe II,1163.491,10900000.0,D
Fe III,1163.592,20200000.0,
Fe II,1163.804,80000000.0,
Fe VII,1163.882,701000.0,E
Fe II,1163.914,20000000.0,
Fe III,1164.079,807000.0,
Fe II,1164.127,30200000.0,
Fe II,1164.318,80000000.0,
Fe II,1164.47,70000000.0,D+
Fe III,1164.713,50300000.0,
