Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1205.8392,1208.6127,0.0,1209,?,0.0
1219.2491,1219.2491,0.0,1219,?,0.0
1304.7382,1304.7382,0.0,1305,?,0.0
1338.2632,1339.6426999999999,0.0,1340,?,0.0
1358.3782,1358.3782,0.0,1358,?,0.0
1398.6084,1398.6084,0.0,1399,?,0.0
1547.795,1547.795,0.0,1548,?,0.0
1814.3193,1814.3227,0.0,1814,?,0.0
1891.427,1892.8027,0.0,1893,?,0.0
0.0,1870.7127,0.0,1871,?,False
0.0,1667.4126999999999,0.0,1667,?,False
0.0,1782.2026999999998,0.0,1782,?,False
0.0,1490.3827,0.0,1490,?,False
0.0,1505.5927,0.0,1506,?,False
0.0,1758.6927,0.0,1759,?,False
