Spectrum,Observed,Rel.,Acc.
N III,1804.486,105000.0,B
N III,1805.669,200000.0,B
O II,1799.025,1000.0,
O II,1799.207,1000.0,
O II,1805.173,80.0,
O II,1807.896,60.0,
Na II,1795.772,10.0,
Na II,1798.41,8000.0,
Na II,1800.048,2050.0,
Na II,1801.256,4050.0,
Na II,1801.256,4050.0,
Na III,1801.267,30.0,
Na II,1804.623,3000.0,
Na III,1805.02,10.0,
Na III,1805.764,70.0,
Na II,1805.998,1020.0,
Na II,1806.061,1000.0,
Na V,1806.17,2050.0,B
Na III,1806.229,70.0,
Na III,1806.684,70.0,
Na III,1807.07,1050.0,
Na II,1807.092,9000.0,
Na II,1808.375,6000.0,
Na III,1810.071,20.0,
Na III,1810.767,1000.0,
Na III,1810.767,1000.0,
Na III,1811.671,1010.0,
Na III,1812.555,80.0,
Na II,1814.474,2050.0,
Mg III,1793.207,20.0,C+
Mg III,1794.582,1040.0,A
Mg IV,1797.271,1010.0,B
Mg IV,1800.167,1070.0,B+
Mg III,1800.662,1050.0,A
Mg III,1803.087,20.0,C+
Mg IV,1807.746,60.0,C+
Mg IV,1808.286,1060.0,B+
Si I,1799.12,100000.0,
Si II,1808.0,105000.0,C
Si I,1809.09,5000.0,C
Si I,1814.07,500000.0,C
S II,1792.513,10.0,
S II,1794.604,10.0,
S II,1795.319,10.0,
S II,1795.967,1000.0,
S II,1797.837,10.0,
S III,1803.897,20.0,
S IV,1804.937,20.0,
S II,1805.347,10.0,
S I,1807.3108,2000000000.0,C+
S IV,1808.127,10.0,
S II,1812.073,10.0,
S II,1812.361,10.0,
Ca III,1794.223,10700000.0,B
Ca III,1798.246,10300000.0,B
Ca III,1800.208,20800000.0,B
Ca II,1807.34,2000.0,C
Ca III,1807.885,30700000.0,B
Ca III,1812.153,40700000.0,B
Ca III,1813.585,20100000.0,C
Ca II,1814.5,4000.0,C
Ca II,1814.65,40.0,C
Fe III,1792.719,40700000.0,D
Fe II,1793.3694,5000000000.0,D+
Fe II,1793.7719,50000000.0,E
Fe III,1793.804,1060000000.0,
Fe III,1793.987,40700000.0,
Fe II,1794.409,700000.0,D
Fe III,1794.647,40700000.0,
Fe II,1795.10724,1030000000.0,E
Fe II,1795.5744,50000000.0,E
Fe II,1795.609,20800000.0,D
Fe II,1795.972,305000.0,E
Fe IV,1796.93,1030.0,
Fe II,1797.283,700000.0,D
Fe II,1797.3158,30300000.0,D
Fe III,1797.353,1060000000.0,
Fe II,1797.626,500000.0,E
Fe II,1797.626,500000.0,
Fe III,1797.77,1060000000.0,
Fe III,1797.898,10100000.0,
Fe II,1798.1564,3010000000.0,D+
Fe II,1798.188,20600000.0,D+
Fe III,1798.342,30500000.0,D
Fe II,1798.601,304000.0,
Fe II,1799.327,60000000.0,
Fe II,1799.6377,20600000.0,E
Fe II,1799.7845,50000000.0,E
Fe II,1800.438,40000000.0,
Fe II,1800.8273,30600000.0,D
Fe II,1801.1284,60000000.0,E
Fe III,1801.787,5030000000.0,D+
Fe II,1802.05,700000.0,D
Fe II,1802.17,306000.0,E
Fe III,1802.724,40900000.0,
Fe II,1802.766,500000.0,
Fe III,1802.931,10100000.0,
Fe III,1802.931,10100000.0,
Fe III,1803.358,1060000000.0,D
Fe II,1803.54,20800000.0,D+
Fe II,1804.1653,50000000.0,D+
Fe II,1804.6459,30300000.0,D
Fe III,1805.243,10500000.0,
Fe IV,1805.32,1020.0,
Fe III,1805.333,3000000000.0,D+
Fe II,1805.4617,60000000.0,E
Fe II,1805.716,10200000.0,D
Fe III,1806.98,20700000.0,
Fe III,1807.247,801000.0,
Fe II,1807.741,30200000.0,
Fe III,1807.998,4000000000.0,D
Fe III,1808.2,1060000000.0,
Fe II,1808.352,10200000.0,
Fe II,1808.384,600000.0,D
Fe II,1808.4493,60000000.0,E
Fe II,1808.698,500000.0,
Fe II,1809.157,305000.0,
Fe II,1809.157,305000.0,
Fe II,1809.291,10100000.0,
Fe II,1809.3168,2090000000.0,D+
Fe III,1809.796,30700000.0,D
Fe II,1809.945,500000.0,D
Fe II,1810.117,205000.0,
Fe II,1810.261,305000.0,
Fe III,1811.365,10500000.0,
Fe III,1811.628,1020000000.0,
Fe III,1811.79,20000000.0,
Fe III,1811.93,4010000000.0,
Fe III,1812.703,803000.0,
Fe III,1812.858,30700000.0,
Fe III,1812.979,3000000000.0,D
Fe III,1813.232,1020000000.0,
Fe III,1813.312,803000.0,
Fe III,1813.777,1070000000.0,
Fe III,1814.024,1020000000.0,D
Fe III,1814.117,50000000.0,
Fe III,1814.475,30700000.0,
Fe III,1815.186,2030000000.0,
Fe II,1815.4116,1060000000.0,D+
Fe III,1815.607,1070000000.0,
Fe II,1815.766,30300000.0,D
Fe III,1815.884,3010000000.0,D
Fe III,1815.931,3010000000.0,
Fe III,1816.004,2030000000.0,
Fe III,1816.004,2030000000.0,D
Fe II,1816.086,500000.0,D
Fe III,1816.203,1070000000.0,
