Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1214.2882,1214.2882,0.0,1214,?,0.0
1237.7577,1237.7577,0.0,1238,?,0.0
1303.1368,1303.1368,0.0,1303,?,0.0
1333.3119,1333.3119,0.0,1333,?,0.0
1356.7814,1356.7814,0.0,1357,?,0.0
1395.3384,1395.3384,0.0,1395,?,0.0
1547.8898,1547.8898,0.0,1548,?,0.0
1658.5315,1658.5315,0.0,1659,?,0.0
1749.0565,1749.0565,0.0,1749,?,0.0
1804.3774,1804.3774,0.0,1804,?,0.0
1814.4358,1814.4358,0.0,1814,?,0.0
1891.5498,1891.5498,0.0,1892,?,0.0
1906.6372,1906.6372,0.0,1907,?,0.0
0.0,1639.8554,0.0,1640,?,False
