Spectrum,Observed,Rel.,Acc.
N V,1860.37,9000.0,
O III,1872.78,208050.0,
O III,1872.87,208050.0,
O III,1874.94,208050.0,
O II,1882.159,80.0,
O II,1882.4,90.0,
Na III,1860.61,10.0,B
Na III,1861.211,1000.0,B+
Na II,1862.832,2000.0,
Na II,1863.09,2050.0,
Na II,1863.898,1050.0,
Na II,1865.139,3050.0,
Na III,1865.177,80.0,
Na II,1865.433,2000.0,
Na II,1866.452,4050.0,
Na III,1867.517,10.0,B
Na II,1871.517,4000.0,
Na II,1873.369,4050.0,
Na II,1874.098,1050.0,
Na II,1875.075,6000.0,
Na III,1875.522,1000.0,
Na III,1876.155,80.0,
Na II,1877.365,2000.0,
Na III,1879.16,40.0,
Na II,1879.24,3000.0,
Na II,1879.24,3000.0,
Na II,1880.04,2050.0,
Na III,1880.663,1000.0,
Na II,1881.09,3050.0,
Na II,1881.912,106000.0,
Mg III,1865.388,0.0,
Mg III,1865.636,40.0,
Mg III,1868.225,70.0,B+
Mg III,1872.956,20.0,
Mg III,1873.268,0.0,
Mg IV,1874.576,2020.0,B+
Mg III,1879.492,1020.0,B+
Mg III,1882.308,30.0,
Si II,1869.32,2000.0,
Si II,1870.23,1050.0,
Si I,1873.1,100000.0,
Si I,1874.84,500000.0,D
Si I,1875.81,100000.0,
Si I,1881.85,200000.0,D+
S IV,1863.016,10.0,D
S IV,1863.016,10.0,
S II,1864.324,10.0,
S II,1880.134,10.0,
S II,1882.647,10.0,
Ca III,1860.432,10400000.0,D+
Ca III,1870.263,40100000.0,B
Ca III,1872.367,40100000.0,B
Ca III,1876.915,4020.0,
Fe II,1859.3598,10500000.0,
Fe II,1859.553,10100000.0,
Fe II,1859.7471,1010000000.0,D+
Fe III,1859.813,8070000000.0,C+
Fe III,1859.957,1090000000.0,D+
Fe II,1860.002,500000.0,
Fe II,1860.0527,3010000000.0,D+
Fe II,1860.13,20700000.0,
Fe IV,1860.42,1020.0,
Fe III,1860.778,40300000.0,
Fe III,1860.99,50900000.0,
Fe I,1861.0328,4010.0,
Fe I,1861.542,0.0,
Fe II,1861.629,500000.0,
Fe I,1861.675,10.0,
Fe II,1861.682,105000.0,
Fe I,1862.3256,103050.0,
Fe II,1862.443,205000.0,
Fe III,1862.449,2000000000.0,D+
Fe II,1863.112,10100000.0,E
Fe II,1863.175,500000.0,
Fe III,1863.328,3060000000.0,
Fe I,1863.543,20.0,
Fe II,1863.711,206000.0,
Fe III,1863.981,50900000.0,
Fe III,1863.981,50900000.0,
Fe I,1864.1917,3050.0,
Fe I,1864.3213,2060.0,
Fe III,1864.452,30300000.0,
Fe III,1864.547,1010000000.0,D+
Fe III,1864.547,1010000000.0,D+
Fe II,1864.6453,1060000000.0,D+
Fe II,1864.7464,5000000000.0,D+
Fe I,1864.7464,305050.0,
Fe III,1864.88,30300000.0,
Fe II,1865.21,400000.0,E
Fe III,1865.213,6060000000.0,D+
Fe III,1865.213,6060000000.0,C+
Fe I,1865.3091,300090.0,
Fe III,1865.464,2000000000.0,D+
Fe II,1865.5452,10800000.0,E
Fe II,1865.5876,10000000.0,
Fe III,1865.606,2000000000.0,
Fe I,1865.612,10.0,
Fe III,1865.744,1050000000.0,D
Fe I,1866.0619,108060.0,
