Approx peak,Measured peak,Stddev,Peak label,Spectrum,Confident?
1378.4456,1378.4456,0.0,1378,?,0.0
1405.2654,1405.2654,0.0,1405,?,0.0
1479.0197,1479.0197,0.0,1479,?,0.0
1495.7819,1495.7819,0.0,1496,?,0.0
1505.8394,1505.8394,0.0,1506,?,0.0
1524.278,1524.278,0.0,1524,?,0.0
1552.7738,1552.7738,0.0,1553,?,0.0
1574.5648,1574.5648,0.0,1575,?,0.0
1631.5568,1631.5568,0.0,1632,?,0.0
1668.434,1668.434,0.0,1668,?,0.0
1683.52,1683.52,0.0,1684,?,0.0
1775.7129,1775.7129,0.0,1776,?,0.0
1882.9918,1882.9918,0.0,1883,?,0.0
1913.164,1913.164,0.0,1913,?,0.0
1933.2788,1933.2788,0.0,1933,?,0.0
0.0,1971.6179000000002,0.0,1972,?,False
0.0,1802.6779000000001,0.0,1803,?,False
0.0,1820.6779000000001,0.0,1821,?,False
0.0,1842.8379,0.0,1843,?,False
0.0,1709.8979,0.0,1710,?,False
0.0,1723.7479,0.0,1724,?,False
0.0,1734.8279000000002,0.0,1735,?,False
0.0,1755.5979000000002,0.0,1756,?,False
0.0,1603.2779,0.0,1603,?,False
0.0,1428.0979,0.0,1428,?,False
0.0,1446.0779000000002,0.0,1446,?,False
0.0,1459.9079000000002,0.0,1460,?,False
0.0,1653.5279,0.0,1654,?,False
0.0,1621.7179,0.0,1622,?,False
