Spectrum,Observed,Rel.,Acc.
N III,1729.945,205000.0,C+
N I,1742.729,707050.0,B
N I,1745.252,700000.0,B
N III,1747.848,507000.0,B
O II,1745.726,1050.0,C
O II,1745.897,1020.0,D
Na III,1728.273,1010.0,B+
Na III,1728.923,10.0,C
Na III,1730.71,0.0,D+
Na III,1731.113,1000.0,B+
Na III,1737.711,80.0,B
Na II,1743.309,1050.0,
Na II,1746.996,0.0,
Mg III,1730.733,70.0,B+
Mg III,1730.778,30.0,C
Mg III,1731.786,50.0,B
Mg II,1734.845,4000.0,A
Mg IV,1736.067,1030.0,
Mg II,1737.618,5000.0,A
Mg III,1738.835,2020.0,A
Mg III,1739.475,30.0,E
Mg III,1743.947,20.0,B
Mg IV,1744.674,1040.0,
Mg III,1745.009,10.0,D+
Mg III,1747.561,1020.0,B+
Mg I,1747.794,0.0,C+
Si IV,1727.38,50.0,A
Si I,1743.88,3000.0,
Si I,1747.4,5000.0,
S III,1728.939,40.0,C+
S V,1731.483,60.0,B
S IV,1738.955,50.0,D+
S IV,1745.34,70.0,D+
Fe II,1724.572,60000000.0,D
Fe III,1724.697,10100000.0,
Fe III,1724.697,10100000.0,
Fe II,1724.8539,3050000000.0,D+
Fe II,1724.8539,3050000000.0,D+
Fe II,1724.9652,1080000000.0,D+
Fe I,1725.011,0.0,
Fe II,1725.025,30400000.0,D
Fe II,1725.3939,10900000.0,
Fe IV,1725.63,1060.0,
Fe II,1725.6895,40000000.0,D+
Fe III,1725.836,603000.0,
Fe II,1725.837,400000.0,
Fe II,1725.837,400000.0,D
Fe II,1725.984,50000000.0,D+
Fe III,1725.986,20800000.0,
Fe II,1726.057,60000000.0,D+
Fe II,1726.157,40000000.0,
Fe II,1726.39268,3050000000.0,D+
Fe II,1726.584,50000000.0,
Fe II,1726.584,50000000.0,
Fe I,1726.678,30.0,
Fe II,1726.755,500000.0,D
Fe II,1726.919,50000000.0,D
Fe II,1726.9436,10400000.0,D
Fe III,1727.032,603000.0,
Fe II,1727.3332,10500000.0,
Fe III,1727.49,10100000.0,D
Fe III,1727.928,603000.0,
Fe II,1727.936,10400000.0,D+
Fe III,1728.186,805000.0,D
Fe II,1728.2905,800000.0,
Fe III,1728.548,10600000.0,
Fe III,1728.861,70000000.0,
Fe II,1728.892,900000.0,D
Fe III,1729.06,30800000.0,
Fe II,1729.0691,700000.0,
Fe II,1729.0843,700000.0,
Fe II,1729.3459,10400000.0,
Fe II,1729.616,600000.0,
Fe I,1729.616,10.0,
Fe II,1730.127,207000.0,
Fe II,1730.1886,400000.0,
Fe II,1730.4147,500000.0,
Fe III,1730.848,3080000000.0,D
Fe II,1730.8738,500000.0,
Fe II,1730.95,500000.0,D+
Fe II,1731.125,50000000.0,
Fe I,1731.184,60.0,
Fe II,1731.337,50000000.0,D+
Fe III,1731.463,70000000.0,
Fe III,1731.689,10200000.0,
Fe II,1731.878,60000000.0,D
Fe II,1731.9623,10300000.0,D+
Fe III,1732.402,806000.0,
Fe III,1732.59,20100000.0,
Fe II,1732.8703,400000.0,
Fe II,1733.072,10200000.0,D
Fe II,1733.202,500000.0,D
Fe II,1733.381,50000000.0,D
Fe II,1733.522,20800000.0,
Fe II,1733.8644,10200000.0,
Fe III,1734.084,90600000.0,D
Fe II,1734.399,303000.0,
Fe III,1734.465,50300000.0,
Fe II,1734.4666,10200000.0,
Fe III,1734.885,807000.0,D
Fe II,1735.493,50000000.0,D+
Fe I,1735.576,20.0,
Fe II,1735.7148,10300000.0,
Fe II,1735.809,500000.0,D
Fe III,1736.242,605000.0,
Fe III,1736.358,90600000.0,
Fe II,1737.189,50000000.0,
Fe II,1737.2148,600000.0,E
Fe II,1737.6243,400000.0,
Fe II,1737.939,50000000.0,
Fe II,1737.939,50000000.0,
Fe II,1738.105,50000000.0,D
Fe III,1738.487,2030000000.0,D
Fe III,1738.699,90700000.0,
Fe III,1738.699,90700000.0,
Fe III,1738.699,90700000.0,
Fe III,1739.196,1040000000.0,
Fe II,1739.5447,500000.0,E
Fe III,1739.926,70200000.0,D
Fe III,1740.244,606000.0,
Fe II,1740.3071,301000.0,
Fe II,1740.33486,10900000.0,
Fe III,1740.755,606000.0,
Fe III,1740.755,606000.0,
Fe II,1740.864,400000.0,
Fe II,1741.58816,40000000.0,
Fe III,1742.067,809000.0,
Fe II,1742.5542,500000.0,D
Fe II,1742.707,400000.0,
Fe III,1742.717,90800000.0,
Fe II,1742.718,80000000.0,D+
Fe III,1742.844,70300000.0,D
Fe II,1742.988,400000.0,
Fe II,1743.03,303000.0,
Fe II,1743.264,400000.0,
Fe II,1743.32777,20300000.0,
Fe II,1744.236,20000000.0,
Fe III,1744.242,2000000000.0,D
Fe III,1744.242,2000000000.0,
Fe II,1744.52442,20700000.0,
Fe II,1744.676,400000.0,
Fe II,1744.676,400000.0,
Fe III,1744.943,10600000.0,D
Fe II,1744.991,900000.0,
Fe II,1744.991,900000.0,
Fe II,1745.0561,208000.0,
Fe II,1745.247,80000000.0,
Fe III,1745.639,2050000000.0,D+
Fe III,1746.144,607000.0,
Fe III,1746.144,607000.0,
Fe III,1746.144,607000.0,
Fe III,1746.625,50500000.0,D
Fe II,1746.8173,500000000000.0,C+
Fe II,1746.944,40000000.0,D+
Fe III,1746.973,10600000.0,
Fe III,1746.973,10600000.0,
Fe III,1747.272,90000000.0,D
Fe III,1748.186,1070000000.0,
Fe III,1748.453,50500000.0,D
