Spectrum,Observed,Rel.,Acc.
N I,1411.94,306000.0,A
Na II,1404.675,9000.0,
Na II,1406.85,1050.0,
Na II,1407.308,2050.0,
Na II,1410.374,1020.0,
Na II,1411.536,70.0,
Na II,1415.762,1000.0,
Na III,1418.559,90.0,E
Na III,1418.559,90.0,D+
Na II,1418.579,2000.0,
Na II,1419.311,1050.0,
Na II,1420.216,1020.0,
Na III,1420.885,1000.0,C
Na II,1421.889,70.0,
Na II,1422.996,1020.0,
Na II,1425.499,70.0,
Mg III,1402.82,0.0,
Mg IV,1404.663,1060.0,B+
Mg III,1405.17,90.0,C+
Mg III,1407.88,70.0,
Mg IV,1409.339,1080.0,B+
Mg IV,1413.868,60.0,B
Mg IV,1418.378,90.0,B
Mg III,1421.538,50.0,
Mg III,1422.118,30.0,C
Mg IV,1425.597,80.0,B+
Si IV,1402.77,1020.0,A+
Si II,1409.07,1000.0,
Si II,1410.22,2000.0,D+
Si II,1416.97,1000.0,
Si III,1417.24,1030.0,B
S III,1402.053,30.0,C+
S III,1402.473,30.0,C+
S IV,1403.553,10.0,
S IV,1404.808,30.0,C+
S IV,1406.009,60.0,C+
S III,1408.339,10.0,C+
S III,1408.459,20.0,C+
S I,1409.3369,20000000.0,C
S I,1412.8726,10500000.0,D+
S IV,1413.023,10.0,
S I,1414.368,10.0,
S III,1415.569,20.0,
S IV,1416.063,50.0,
S VI,1419.381,1000.0,A
S VI,1419.738,3000.0,AA
S IV,1421.654,10.0,
S IV,1423.845,60.0,C+
S VI,1423.845,2000.0,AA
S IV,1424.467,20.0,
S I,1425.0301,80000000.0,C+
S I,1425.219,700000.0,D+
Ca III,1420.067,409000.0,
Fe II,1401.771,70000000.0,D+
Fe II,1401.939,600000.0,
Fe II,1402.144,10800000.0,
Fe III,1402.172,20400000.0,
Fe V,1402.388,40000000.0,C+
Fe V,1402.388,40000000.0,B
Fe II,1402.56,500000.0,
Fe II,1402.846,700000.0,
Fe II,1403.1,40000000.0,
Fe II,1403.253,70000000.0,D+
Fe V,1403.37,10100000.0,C
Fe V,1403.37,10100000.0,
Fe II,1403.556,600000.0,
Fe II,1403.68,50000000.0,
Fe II,1403.68,50000000.0,
Fe II,1403.977,40000000.0,
Fe V,1404.048,5050.0,D+
