Spectrum,Observed,Rel.,Acc.
C I,1156.76,2040000000.0,D
C I,1157.167,200000000000.0,C+
C I,1157.33,403000000000.0,C+
C I,1157.397,408000000000.0,C+
C I,1157.767,0.0,C+
C I,1157.771,509000000000.0,B+
C I,1157.909,10300000000000.0,B+
C I,1158.03,10900000000000.0,B+
C I,1158.03,10900000000000.0,B
C I,1158.108,10100000000000.0,B+
C I,1158.108,10100000000000.0,B+
C I,1158.332,503000000000.0,B
C I,1158.4,408000000000.0,C+
C I,1158.536,203000000000.0,C
C I,1158.536,203000000000.0,C+
C I,1158.698,506000000000.0,B
C I,1158.698,506000000000.0,C+
C I,1158.933,205000000000.0,C+
C I,1158.955,604000000000.0,C+
C I,1159.11,109000000000.0,C
Na II,1157.291,4000.0,
Si III,1158.1,70.0,B
S I,1157.403,1000.0,
Fe II,1157.056,10500000.0,
Fe II,1157.63,80000000.0,E
Fe II,1157.678,60000000.0,E
Fe V,1157.692,409000.0,D
Fe II,1157.821,80000000.0,E
Fe II,1157.853,50000000.0,
Fe II,1158.115,40000000.0,D
Fe III,1158.173,70300000.0,
Fe III,1158.253,70300000.0,
Fe II,1158.275,60000000.0,
Fe V,1158.306,1000.0,
Fe V,1158.492,303000.0,
Fe II,1158.497,80000000.0,E
Fe III,1158.606,809000.0,
Fe II,1158.876,20000000.0,
Fe III,1159.019,2040000000.0,
Fe II,1159.086,10900000.0,
