Spectrum,Observed,Rel.,Acc.
C I,1160.505,201000000000.0,C
C I,1160.881,101000000000.0,C
N I,1163.884,103000.0,B
N I,1164.206,6000.0,B
N I,1164.325,100050.0,B
N I,1167.448,207000.0,A
N I,1168.334,100050.0,B+
N I,1168.417,6000.0,A
N I,1168.536,109050.0,A
Na II,1165.548,6000.0,
Mg I,1163.8,0.0,
Si III,1160.26,60.0,B
Si III,1161.58,80.0,B
S I,1161.34,9000.0,
S I,1161.34,9000.0,
S I,1161.57,7000.0,
S I,1161.72,7050.0,
S I,1161.97,0.0,
S III,1162.132,30.0,C+
S III,1162.494,60.0,C+
S III,1163.209,50.0,C+
S I,1163.98,6000.0,
S III,1166.15,60.0,C+
S III,1166.526,40.0,C+
S I,1167.3,9000.0,
S I,1167.3,9000.0,
S I,1167.3,9000.0,
S I,1168.03,6000.0,
Cl I,1167.148,800000.0,
Fe II,1159.421,10600000.0,
Fe II,1159.501,60000000.0,
Fe III,1159.586,2040000000.0,D
Fe II,1159.909,20000000.0,
Fe II,1159.986,70000000.0,E
Fe II,1160.087,10700000.0,
Fe II,1160.087,10700000.0,D
Fe V,1160.13,105000.0,D
Fe III,1160.255,10200000.0,
Fe II,1160.263,60000000.0,E
Fe II,1160.526,20000000.0,
Fe III,1161.163,808000.0,
Fe III,1161.516,1030000000.0,
Fe II,1161.552,700000.0,
Fe II,1161.552,700000.0,
Fe II,1161.81,10500000.0,
Fe III,1161.875,10600000.0,
Fe II,1161.996,10400000.0,
Fe II,1162.34,60000000.0,D
Fe II,1162.34,60000000.0,
Fe III,1162.592,20200000.0,
Fe II,1162.641,70000000.0,E
Fe II,1162.881,60000000.0,
Fe II,1162.881,60000000.0,D
Fe II,1163.164,60000000.0,D
Fe II,1163.305,70000000.0,
Fe II,1163.305,70000000.0,
Fe II,1163.491,10900000.0,D
Fe III,1163.592,20200000.0,
Fe II,1163.804,80000000.0,
Fe VII,1163.882,701000.0,E
Fe II,1163.914,20000000.0,
Fe III,1164.079,807000.0,
Fe II,1164.127,30200000.0,
Fe II,1164.318,80000000.0,
Fe II,1164.47,70000000.0,D+
Fe III,1164.713,50300000.0,
Fe II,1164.866,70000000.0,E
Fe II,1165.235,60000000.0,D
Fe II,1165.264,60000000.0,
Fe V,1165.519,208000.0,D
Fe II,1165.593,20000000.0,
Fe V,1165.672,206000.0,D
Fe II,1165.743,60000000.0,D
Fe II,1165.782,20600000.0,
Fe II,1166.02,80000000.0,
Fe II,1166.02,80000000.0,E
Fe II,1166.087,40000000.0,
Fe VII,1166.187,10200000.0,C
Fe II,1166.21,60000000.0,
Fe II,1166.21,60000000.0,E
Fe VII,1166.301,304000.0,C
Fe III,1166.423,30900000.0,
Fe II,1166.46,10900000.0,D
Fe II,1166.681,600000.0,
Fe II,1166.739,70000000.0,E
Fe III,1166.797,70100000.0,
Fe III,1166.797,70100000.0,
Fe III,1166.815,20900000.0,
Fe II,1166.963,60000000.0,E
Fe III,1167.756,20100000.0,
Fe II,1167.953,10500000.0,
Fe III,1167.982,806000.0,
Fe III,1168.093,20900000.0,
Fe II,1168.201,70000000.0,D
Fe II,1168.225,10900000.0,E
Fe II,1168.395,40000000.0,
Fe II,1168.498,80000000.0,E
Fe II,1168.498,80000000.0,
Fe II,1169.135,10600000.0,
Fe II,1169.163,70000000.0,
Fe III,1169.445,20100000.0,
