Spectrum,Observed,Rel.,Acc.
O II,1392.806,40.0,
O II,1396.304,80.0,
Na II,1392.072,1050.0,
Na II,1392.316,1000.0,
Na II,1392.94,1050.0,
Na II,1395.193,1000.0,
Na II,1398.143,1020.0,
Na II,1399.07,3000.0,
Na II,1399.86,1020.0,
Mg III,1391.271,1020.0,
Mg III,1393.391,1050.0,B+
Mg IV,1394.356,50.0,C
Mg III,1395.642,20.0,
Mg IV,1398.795,10.0,
Si IV,1393.76,1050.0,A+
S III,1390.726,50.0,C+
S I,1392.5878,2050000000.0,D
S I,1396.1122,5000000000.0,D
S III,1396.556,10.0,D
S IV,1398.045,10.0,D+
Cl I,1389.957,2000000000.0,D
Cl I,1396.527,1020000000.0,D
Ca III,1397.687,20300000.0,B
Fe V,1389.762,106000.0,C
Fe II,1390.118,600000.0,
Fe III,1390.147,40500000.0,
Fe II,1390.312,70000000.0,
Fe II,1390.312,70000000.0,
Fe V,1390.713,401000.0,C+
Fe II,1390.912,10200000.0,
Fe II,1390.912,10200000.0,
Fe V,1390.972,304000.0,C
Fe II,1391.079,500000.0,
Fe II,1391.307,20600000.0,
Fe III,1391.382,703000.0,
Fe II,1391.667,800000.0,
Fe III,1391.792,40400000.0,D
Fe II,1391.799,700000.0,
Fe II,1391.95,20600000.0,
Fe II,1391.95,20600000.0,
Fe III,1391.997,80100000.0,
Fe II,1392.011,10400000.0,
Fe II,1392.138,80000000.0,D+
Fe III,1392.194,20400000.0,
Fe V,1392.269,501000.0,C+
Fe III,1392.516,909000.0,
Fe III,1392.576,909000.0,
Fe II,1392.773,30100000.0,
Fe V,1392.941,207000.0,C
Fe II,1393.069,10900000.0,
Fe V,1393.073,10100000.0,C
Fe II,1393.217,80000000.0,
Fe II,1393.217,80000000.0,D+
Fe III,1393.281,504000.0,
Fe II,1393.315,10000000.0,
Fe II,1393.497,60000000.0,
Fe II,1393.679,40000000.0,
Fe III,1393.68,40400000.0,
Fe III,1393.831,20400000.0,
Fe II,1393.892,50000000.0,
Fe III,1394.019,40400000.0,D
Fe V,1394.272,10300000.0,C
Fe V,1394.599,208000.0,C
Fe V,1394.665,10300000.0,C
Fe II,1394.711,10600000.0,
Fe II,1394.711,10600000.0,
Fe III,1395.209,80100000.0,D
Fe III,1395.382,20400000.0,
Fe V,1395.442,401000.0,C
Fe II,1395.703,10100000.0,
Fe III,1395.745,60000000.0,D
Fe III,1396.17,703000.0,
Fe III,1396.602,30300000.0,D
Fe III,1396.602,30300000.0,
Fe II,1396.618,10200000.0,
Fe III,1396.83,504000.0,
Fe II,1396.86,10200000.0,
Fe III,1396.968,909000.0,
Fe II,1396.969,600000.0,
Fe II,1396.969,600000.0,
Fe V,1397.106,706000.0,C
Fe II,1397.319,10500000.0,
Fe II,1397.423,70000000.0,
Fe II,1397.566,80000000.0,
Fe V,1397.753,501000.0,C
Fe II,1397.836,80000000.0,D+
Fe V,1397.972,20200000.0,C
Fe V,1398.166,1030.0,C
Fe II,1398.378,80000000.0,D+
Fe II,1398.627,10900000.0,D
Fe III,1398.823,703000.0,
Fe III,1398.964,10800000.0,
Fe III,1398.964,10800000.0,
Fe II,1399.055,80000000.0,D+
Fe II,1399.531,60000000.0,
Fe III,1399.71,30300000.0,
Fe III,1399.71,30300000.0,
Fe II,1399.957,70000000.0,D
Fe II,1400.031,40000000.0,
Fe II,1400.157,700000.0,
Fe V,1400.243,30600000.0,C
