Spectrum,Observed,Rel.,Acc.
C I,1155.805,301000000000.0,C+
C I,1155.993,708000000000.0,B
C I,1155.993,708000000000.0,B
C I,1156.186,404000000000.0,C+
C I,1156.186,404000000000.0,C+
C I,1156.384,402000000000.0,B
C I,1156.561,506000000000.0,B
C I,1156.76,2040000000.0,D
C I,1157.167,200000000000.0,C+
C I,1157.33,403000000000.0,C+
C I,1157.397,408000000000.0,C+
C I,1157.767,0.0,C+
C I,1157.771,509000000000.0,B+
C I,1157.909,10300000000000.0,B+
C I,1158.03,10900000000000.0,B+
C I,1158.03,10900000000000.0,B
Na II,1157.291,4000.0,
Si III,1155.96,60.0,C+
Si III,1158.1,70.0,B
S III,1155.389,60.0,B
S I,1156.0,8050.0,
S I,1156.26,7050.0,
S I,1157.403,1000.0,
Fe II,1155.263,90000000.0,E
Fe II,1155.521,40000000.0,
Fe V,1155.729,5000.0,D
Fe II,1155.849,10200000.0,
Fe III,1156.032,1080000000.0,
Fe III,1156.083,10200000.0,
Fe II,1156.478,40000000.0,
Fe II,1157.056,10500000.0,
Fe II,1157.63,80000000.0,E
Fe II,1157.678,60000000.0,E
Fe V,1157.692,409000.0,D
Fe II,1157.821,80000000.0,E
Fe II,1157.853,50000000.0,
