Wavelengths,Flux,Fluxerr
1150.5227,-152.47548,1.737188e-14
1152.1991,-154.91183,1.6952197e-14
1153.8754,-157.37791,1.533666e-14
1155.5515,-159.87433,1.425186e-14
1157.2278,-162.40099,1.37141775e-14
1158.904,-164.9589,1.2844475e-14
1160.5803,-167.54736,1.1791183e-14
1162.2565,-170.1671,1.1532064e-14
1163.9329,-172.81839,1.109993e-14
1165.609,-175.50139,9.126637e-15
1167.2853,-178.21632,8.280739e-15
1168.9617,-180.96342,8.287155e-15
1170.6378,-183.74248,7.47718e-15
1172.3141,-186.5547,6.9641914e-15
1173.9904,-189.39973,6.398943e-15
1175.6666,-192.27771,6.9762527e-15
1177.3428,-195.18915,6.5489966e-15
1179.0192,-198.13445,5.2526876e-15
1180.6954,-201.11346,4.997928e-15
1182.3716,-204.12634,4.52034e-15
1184.048,-207.17383,4.1793533e-15
1185.7241,-210.25546,4.1748975e-15
1187.4004,-213.37216,3.956465e-15
1189.0765,-216.5241,3.6871946e-15
1190.7529,-219.71135,3.5656834e-15
1192.4291,-222.93388,3.5748513e-15
1194.1053,-226.19215,5.942551e-15
1195.7816,-229.48682,3.63355e-15
1197.4579,-232.81816,5.7082935e-15
1199.1342,-236.18517,4.0350524e-15
1200.8104,-239.58913,3.4408094e-15
1202.4867,-243.03024,4.185907e-15
1204.1628,-246.5083,4.136425e-15
1205.8392,-250.02428,9.7402275e-15
1207.5154,-253.57762,1.6299948e-14
1209.1917,-257.16946,5.0183632e-14
1210.868,-260.79886,6.3569446e-13
1212.5442,-264.46695,-9.260145e-17
1214.2205,-268.17377,-9.0292653e-17
1215.8966,-271.9194,-8.8056506e-17
1217.573,-275.70438,4.1313966e-12
1219.2491,-279.5285,3.9100877e-14
1220.9254,-283.3931,2.6204389e-13
1222.6017,-287.29688,1.5661563e-14
1224.278,-291.24115,8.904184e-15
1225.9541,-295.22467,2.7796115e-15
1227.6305,-299.25024,2.1155118e-15
1229.3068,-303.31653,1.9405571e-15
1230.9829,-307.42276,1.9743461e-15
1232.6593,-311.57196,1.8658908e-15
1234.3354,-315.76117,1.8230495e-15
1236.0117,-319.9929,1.802917e-15
1237.688,-324.2661,1.8705037e-15
1239.3643,-328.58224,1.8080778e-15
1241.0405,-332.94128,1.6770495e-15
1242.7168,-337.342,1.698116e-15
1244.3931,-341.78677,1.8288083e-15
1246.0692,-346.27362,1.8164264e-15
1247.7455,-350.80484,1.7829967e-15
1249.4218,-355.37927,1.7488546e-15
1251.098,-359.99817,1.7696645e-15
1252.7743,-364.66037,1.6515753e-15
1254.4506,-369.367,1.7270904e-15
1256.1268,-374.11957,1.65375e-15
1257.803,-378.91513,1.6856002e-15
1259.4794,-383.75748,1.6704687e-15
1261.1555,-388.64383,1.6846214e-15
1262.8318,-393.57654,1.587198e-15
1264.508,-398.55484,1.658136e-15
1266.1843,-403.5779,1.64887e-15
1267.8605,-408.6488,1.7146766e-15
1269.5369,-413.76566,1.5327172e-15
1271.2131,-418.9295,1.6999774e-15
1272.8893,-424.1397,1.8013543e-15
1274.5656,-429.3972,1.6453664e-15
1276.2418,-434.70248,1.7085291e-15
1277.9181,-440.05438,1.674489e-15
1279.5942,-445.45468,1.6503669e-15
1281.2706,-450.90356,1.803844e-15
1282.9469,-456.3996,1.7380764e-15
1284.623,-461.9441,1.8344828e-15
1286.2994,-467.53842,1.7165076e-15
1287.9756,-473.1807,1.6833727e-15
1289.6519,-478.87228,1.9350313e-15
1291.3281,-484.61346,2.2317804e-15
1293.0044,-490.4047,2.2927988e-15
1294.6805,-496.24408,2.7889799e-15
1296.3569,-502.1344,2.5458935e-15
